Restoran,Grad,Ocena,Recenzija
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi Laura,  Thank you for taking the time to share your feedback with us. Were pleased to hear that you enjoyed the food, though were sorry to learn that you felt the prices did not meet your expectations.  As a centrally located venue in London and part of an international brand, our pricing reflects our location, operating costs, and the overall experience we aim to offer, all of which are clearly displayed on our menu before ordering. While we understand that value is subjective, we strive to deliver quality ingredients, generous portions, and a unique atmosphere alongside our food.  We appreciate your comments and will be sure to share them with the team. Thank you again for visiting and for sharing your perspective."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Great food, slight issue with one dish but the service was absolutely fantastic and more than resolved the issue and went above and beyond."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi Vicky,  Thank you for the review, and glad to hear we turned things around. Hope to welcome you back soon!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"The location is gorgeous, the menu is Hard Rock Cafe style and the service is smooth and quick (multilanguage Abselmo is a pro!)"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for taking the time to review, and your amazing feedback. Will pass on the complements to Anselmo."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"I love this branch of the Hard Rock Cafe. I love eating here and we always have a good time when we are here. Today we went to the shop. The shop is so cool, it is the biggest Rock Shop in Europe. The clothes are so cool and have great designs. There is a wide variety of things to buy here. The decor of the shop area is so cool. Whats really brilliant is that there is a facility available to book an Uber, Theatre Tickets and London Attractions. The shop is worth checking out. Hard Rock Cafe Piccadilly is close to Piccadilly Circus station."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the lovely review and cool feedback. Glad to hear that the kiosk to book an Uber and various attraction in London area made it simple and easy to navigate."
Hard Rock Cafe London Piccadilly Circus,London,4.8,Beautiful lay out  friendly staff  food was incredible  10/10 Highly recommended  very busy but service was excellent
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and feedback. We hope to welcome you back soon for another memorable experience at our location"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"I happened to this Hard Rock by chance and I was served Marco and Anselmo, they were kind and professional right away, and very nice! I had a good afternoon for my birthday here! Thank you, I'll be back soon!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  What a wonderful review! I am so pleased to hear that you had a great time with us. This is just what we want to hear. I will be delighted to pass on your feedback and share your great experience with Anselmo and Marco. It will be great to see you again and we look forward to welcoming you back very soon!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,Great location right in the centre of London. Excellent environment and good food. An animated and fast team. Decoration on the walls with the Beatles and other artists. Do not forget to make the reservation on time online. We love that unforgettable night. Thank you
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and feedback. We hope to welcome you back on your near future visit to London."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"My girlfriend and I sat at the bar at Hard Rock and had an amazing time. The service was excellentfriendly, attentive, and fast, and the atmosphere made our night even better.  A special thank you to Anselmno and Shah for taking such great care of us and making the whole experience truly enjoyable. Well definitely be back."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for taking the time to review and the lovely feedback of our bar team. We will surely pass on the complements and we hope to welcome you back soon for another great experience."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Anselm Great experience here in London at 'Hard Rock Cafe here in Piccadilly. Courteous staff, great environment, we spent a good time, to be repeated  highly recommend to everyone, TOP staff !!!!!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and amazing feedback of our top staff. We hope to welcome you back soon!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"This Hard Rock is practically close to the tube station, in the heart of London's nightlife. The upper floor is used as a merchandising while the lower floor is the restaurant. Very good food quality and impeccable service and extremely available. In my case, after spilling a glass of coke, still not even tasted, they immediately cleaned everything up and even offered the new coke. Clean and well organized. Highly recommended"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for taking the time to review and the amazing feedback to both our Retail Shop and Restaurant. We hope to welcome you back in the future  Ciao!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Terrible experience we ordered a few starters to share and a cocktail, only to be told once food arrived we couldn't order any more cocktails due to it not being a main meal. Due licensing! Should have been mentioned at the start, complete waste of money! Such a shame too as all other hard rocks have been fab! Wouldn't return as we had high hopes"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and feedback. I do understand your frustration but as our liquor license from Westminster Council specifically dictates that there is a substantial meal associated with an alcoholic beverage hence the team has mentioned it to your table and offered to be moved into the bar area where licensing restriction doesn't require such. We do ask our guest if they are for dining or just drink and a snack which you will be directed to the bar area if available at that time."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"it was a beautiful evening, our server Anselmo was exceptional and very kind, there was a great atmosphere. totally recommend!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi Monica,  Thank you for the review and feedback. Will definitely pass on the complements to our server Anselmo for the great experience at our Piccadilly location. We hope to welcome you back soon!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"We had two great smash burgers, the service was quick and helpful. Anselmo was not only a great waiter, but offered us some great suggestions on some nice places to visit during our stay here in London! Highly recommended place also for those with food intolerances, you will be advised by the well-informed staff."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and feedback. Glad to hear that you had an amazing time at our location and hope to welcome you back soon in the future."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Perennially fashionable since the days of Henry VIII, the aristocratic Clubland of St James's is a premier destination for high end craft and bespoke design. Here youll lose count of the Royal Warrants (which indicate that the Royal Family patronizes the establishment) seen in shop front windows, even during a short stroll to bordering Green Park or St Jamess Park. With the brightly lit and constantly buzzing junction of Piccadilly Circus at its northeast corner and none of Central London too far away, this is an surprisingly central and accessible part of town, especially given its prosperous demeanor."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"This is the version of our website addressed to speakers of English in the United States. If you are a resident of another country or region, please select the appropriate version of Tripadvisor for your country or region in the drop-down menu."
The Barbary,London,4.6,"A very nice place, with traditional Lebanese cuisine. Naan bred and black falafel are delicious; had never tried hummus tatbila before, and I found it absolutely tasty . You sit close together around one long shared table"
The Barbary,London,4.6,"We had an amazing experience at The Barbary! Sitting at the bar was perfect, you could watch the chefs at work and see their attention to detail and skill up close. The food was flavorful, creative, and beautifully presented. Definitely a spot Id recommend to anyone who loves good food and a lively atmosphere."
The Barbary,London,4.6,"Excellent restaurant! If you can get a reservation, do it. We came for lunch and had a wonderful experience. Probably the best food we ate during our trip to London. Its a small 24 seat counter restaurant. The staff walks you through the menu and gives advice . Everything is meant to be shared. Most dishes are cooked on an open fire grill in the center of counter for all to see. The vibe is cool and the food is delicious. I Highly recommend."
The Barbary,London,4.6,"Off the Chart! The Barbary did not disappoint. Food, service and ambience all amazing. Intimate, fun, great staff. A perfect date venue. And the food? Wow. The spinach, feta and yoghurt dip with nan is a must. The lamb is mouth watering. Octopus and pumpkin seeds? Can I have some more please. Nothing disappointed. Everything excelled. We were left scratching our heads if we had actually ever had a better meal anywhere (and that includes London, Paris, NY and we like to dine). The Barbary is a must. Thanks team. You are talented, welcoming and have created something very very special. We will be back very soon."
The Barbary,London,4.6,We came here to celebrate our 40th anniversary ( our son recommended the restaurant). Everyone sits at the bar which is kind of a horseshoe shape with the kitchen in the middle. Seating is a bit tight- we were greeted enthusiastically and began the process of ordering eating etc. the food was very delicious and the atmosphere was very fun. Book a table- highly recommended.
The Barbary,London,4.6,"This is my personal beat meal I have had for 2025, where do I start, the atmosphere is amazing, then the service followed by the food   Jane was truly so fabulous with helping us choose this amazing food  Been to many London Restaurants and for me is the best"
The Barbary,London,4.6,"What a fantastic find! We stumbled upon The Barbary while exploring the area and thought it looked interesting, so booked for lunch a few days later. An awesome experience! The restaurant is small, and tight! But.. that almost added to the experience! We were sat at the counter and watched the amazing team create their magic. Service was perfect, professional, enthusiastic and could not be faulted. The menu consists of a typical sharing concept. We stared with incredible naan cooked as we watched. Humous and labneh were so fresh and bright. Their signature cigar starter was hot, fresh and so flavorful with a yogurt/mint sauce. We then had the salmon and lamb, both were outstanding the salmon was pink and perfect, as was the lamb! Again incredible flavors and presentation. We added the chili cauliflower and that also was a nice combo, adding another texture to the meal. Bottle of Tempranillo, house wine but certainly decent, and we live in Spain! All in all a fantastic lunch, we cant wait to return on our next London visit."
The Barbary,London,4.6,"The food was outstanding - imaginative, well prepared and well presented, if frankly expensive. The staff behind the counter were equally welcoming, attentive and interested in providing excellence in dining.  The maitre d however made it clear that the sole purpose of the restaurant was to extract as much money as possible in as short a period of time as possible.  We were 10 minutes over our allotted 1:30 booking, with three free seats at the bar, when we were told that either we preferred something else or we should leave - this after having requested the bill from another team member.  I get it, they need to make money. It just wont be from me in future.  Thanks, but I wont be tricking you again."
The Barbary,London,4.6,"How wonderful, everything perfect, the concept, the place. The food and the music. A mix of flavors and cultures in the dishes and in the team on this side and beyond the counter around which you eat. A group of young and very talented boys who put their different origins in the inspiration and flavors of dishes with Israeli, Arab, Lebanese influences and so on. Every dish with a tapas concept to share is a journey and a discovery. You guys deserve the success you're getting and all the best. Thank you for the wonderful experience it will be an honor and a pleasure to return to visit you"
The Barbary,London,4.6,"Wonderful experience! Friendly and professional staff. Blackened salmon was perfectly prepared, coffee rubbed chicken was moist and crunchy, cigars great with the dip and the man was perfect. Wonderful atmosphere with the open kitchen and great music selections. Just great."
The Barbary,London,4.6,"Lovely relaxed atmosphere with soft music in background. Tables are a bit too close . Service is fast yet not pushy or business like. Food I tried was perfectly cooked, right balance of flavours. Portions on the smallish sides"
The Barbary,London,4.6,"North African / Middle Eastern food made in front of you with live fire. This fun little gem in Neal's Yard is mainly all bar, so you can watch the food being made in front of you. It was hard to pick what I wanted to eat, as everything on the menu looked amazing. It did not disappoint. The Bavette Steak with Chermoula had me craving for more!"
The Barbary,London,4.6,"From the moment we walked into The Barbary we knew we would have an amazing night. The music was such fun, staff were so friendly and the restaurant was so chic. Alex looked after us and talked through the menu, making sure my intolerances were catered for. Merci Alex!  The counter tables are fantastic and so cool to watch the chefs at work. Really recommend everything we ate; the naan, cods roe, hummus, cigars, sea bream and pork. The wine list was so unique too! Really fantastic evening, thank you!"
The Barbary,London,4.6,"A chance last day delight - the best meal with the best service in our entire 3 week UK visit. The food was fantastic and what could be better than sitting looking into the kitchen, literally right in front of us, where the delightful chefs shared their expertise. Every dish was richly flavored, beautifully presented and absolutely delicious. I wish it was not our very last day - Id be back in a shot."
The Barbary,London,4.6,"We went for lunch here and were really impressed, the food was incredible. We started with a selection of dips with the hummus being a particular favourite and then moved onto the mains with our favourites being the lamb and the octopus though everything was delicious. Finally desserts to finish with the hashcake (sort of a pistachio tart) being the standout. Service was friendly and helpful too, talking through the dishes and giving recommendations and we never felt rushed at all. My only tip though is booking as it can be hard to get a table (and having eaten there, I see why!)."
The Barbary,London,4.6,"Whether you're headed here to check out the multitude of shops, theaters, cafes, pubs, and restaurants, or simply to be among the multitude of people who pass through this pretty part of town, you'll love soaking up the festive and historic atmosphere in and around Covent Garden. Even if you don't have tickets to the opera or a show at one of the many famous theaters here, don't be surprised if find yourself captivated by some impromptu act of a street performer wowing the crowds in Covent Garden's Piazza. If you do have tickets, you'll be pleased to note that many of the local eateries accommodate theatergoers with prix fixe menus, early dinners, and later than usual opening hours."
The Barbary,London,4.6,"This is the version of our website addressed to speakers of English in the United States. If you are a resident of another country or region, please select the appropriate version of Tripadvisor for your country or region in the drop-down menu."
Kennington Lane Cafe,London,4.9,2nd time Ive been to this cafe. Amazing breakfast good size highly recommend.   Reasonably priced and friendly staff. A*
Kennington Lane Cafe,London,4.9,"Affordable, good portion size and friendly service. We had the set breakfast and a side of chips. The cafe was busy but service was quick. Would return if we were in the area again."
Kennington Lane Cafe,London,4.9,"This breakfast restaurant offers a warm, welcoming atmosphere with freshly prepared meals that feel both comforting and satisfying. The menu has a great variety, from classic breakfasts to lighter options, and the food is served hot and well presented. The staff are friendly and attentive, making the overall experience enjoyable and worth returning for."
Kennington Lane Cafe,London,4.9,"Great cafe, very friendly staff. Tez was a lovely server! Would throughly recommend to anyone visiting for a proper old school breakfast."
Kennington Lane Cafe,London,4.9,"Food was good! We really had a great time, the atmosphere was good, the environment was nice and the food was great so overall a good time"
Kennington Lane Cafe,London,4.9,10/10 breakfast and best service ever from Tez!   Great customer service and I would highly recommend the Mediterranean breakfast
Kennington Lane Cafe,London,4.9,"Very good food, proper greasy spoon cafe. Service was great, loved the vibe of the place. Would recommend if youre in the area"
Kennington Lane Cafe,London,4.9,"Cosy, simple caf with a really authentic, family vibe. Small dining area, but it just feels nice and welcoming. Halil, the host, was a fantastic guychatty, friendly, and cracking jokes while serving. Had the mixed dner platter; massive portion and super fresh and tasty."
Kennington Lane Cafe,London,4.9,Halil was amazing he really took care of us and made us laugh. The food was amazing he recommended for me to put cheese into my omelette and it made the world of a difference. Very lovely cafe with reasonable prices. Would definitely come here again.
Kennington Lane Cafe,London,4.9,Great jacket pot - massive tasty and cheap - nice atmosphere nice waiters - visited in lunch break with basement orchestra
Kennington Lane Cafe,London,4.9,"Nice food, cheap price, VERY friendly staff who took the time to speak to us and make us welcome. Its located not far from Vauxhall and Kennington and is just opposite a nice park."
Kennington Lane Cafe,London,4.9,"The food is very tasty and the staff very friendly. Ita a cozy and nice place to visit, thank you a lot guys. I will come back here"
Kennington Lane Cafe,London,4.9,"Excellent local greasy spoon that I regularly visit. Great food, quickly served & very friendly service. Couldn't recommend enough"
Kennington Lane Cafe,London,4.9,"Fantastic genuine London Caf. Quick service from a delightful server. Sausages are to die for, REAL rashers (not the processed type). Fried bread which unfortunately you dont readily get anymore.   The value is incredible considering the amount of food.   Well done !!!!!!!!!"
Kennington Lane Cafe,London,4.9,"Beautiful home cooked food, friendly service from Halil. Would definitely highly recommend and the prices are really reasonable."
Kennington Lane Cafe,London,4.9,"This is the version of our website addressed to speakers of English in the United States. If you are a resident of another country or region, please select the appropriate version of Tripadvisor for your country or region in the drop-down menu."
The Prince of Wales,London,4.8,"Such a lovely pub to have a delicious Sunday roast, i came with here with my family and i must say service was 10/10 shout out to sheila the barmaid she was so sweet and always on her toes.  Definitely returning for more!"
The Prince of Wales,London,4.8,A good place for drinking and eating something. The decor is beautiful and the food is very good. The people are good too.
The Prince of Wales,London,4.8,"Ro the waitress is amazing and Sunday roast is best in town, the roast lamb is fabulous.Always come back!!!!!! Love the Prince of wales."
The Prince of Wales,London,4.8,"Ro was fantastic, great energy, lovely good food, very happy customer. Can't recommend enough"
The Prince of Wales,London,4.8,Excellent service from Ro who was lovely  friendly and chatty.Beautiful experience.
The Prince of Wales,London,4.8,The Sunday roast dinner was amazing! We had the chicken roast and everything was delicious. We also had the crumble with custard for dessert and it was great too. We werent sure we had the right place when we walked in as it seems like a spot for locals but everyone was nice and the service and food was great!
The Prince of Wales,London,4.8,"The Prince of Wales is conveniently located near my hotel. After a long day of travel, I was looking f forward to a pint and a nice lunch. The BLT is fresh and the onion rings are on par with any American restaurant. A good selection of beers too. The bartender was attentive and friendly. Great location too right off of High Street Kensington"
The Prince of Wales,London,4.8,"Great food, good value and service by Ro excellent. Guinness at a good temperature and the Merlot and Shiraz was great  GRL"
The Prince of Wales,London,4.8,"We went to Prince of Wales for the Sunday roast after a day of museum hopping. What a pleasure to sit in the bar and eat such a delicious beef roast with all the trimmings. The owner, we think... Tom? Welcomed us. There was a birthday going on in the corner table and two couples in a banquette. Such a charming atmosphere. By the time we left we had shared our sticky toffee pudding and were offered a sluce of birthday cake.  We went back for lunch another say and the fish and chips were delicious and Sheila a lovely, attentive server.  We will be back! A call out to the nice lady in the kitchen. Thank you from Southern California."
The Prince of Wales,London,4.8,Ro was brilliant - amazing service - great food too - a lovely local London pub. Tom is a brilliant landlord. Well be back
The Prince of Wales,London,4.8,"We booked here for our sons suprise 21st Birthday party and couldnt recommend it enough - Tom, Margaret and the team helped with everything from putting up all of the decorations for us to ordering the DJ in (Smokey was great) and the food was absolutely delicious. The place is in a great location and is spotless, everyone was warm and welcoming and 100% recommend you use this place THANK YOU!"
The Prince of Wales,London,4.8,"Bar staff especially the male member with basic skill, food on the other hand was lovely compliments to the chef please."
The Prince of Wales,London,4.8,"Food was excellent, staff was very friendly. Ro was our server and she was lovely, very helpful. We had a great evening!!"
The Prince of Wales,London,4.8,Its been a great experience and the food was delicious. The atmosphere is really lovely and warm. Our waitress Ro has been super friendly and gives us some tips for Karaoke. We will definitely be back .
The Prince of Wales,London,4.8,"This is the version of our website addressed to speakers of English in the United States. If you are a resident of another country or region, please select the appropriate version of Tripadvisor for your country or region in the drop-down menu."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"This is a classy restaurant with great service, great food and great views. The team are really attentive and unobstructive and take great care with special requirements."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"We havent been here for a while, but it is still being exactly what you want from a good restaurant. We came for lunch and the menu was delightfully short, but with plenty of choice. The crab on a potato waffle was delicious, and the stracciatella with poached pears was a really wonderful surprise. One of us had a most tender and nicely cooked fillet of beef with mushrooms and the Shetland halibut was amazing.  Paired with an excellent wine and a small digestif, we left comfortably full and very relaxed. Service was kind and friendly. This isnt a place to come to if youre on a budget, but if you want to splash out, it is worth the money in our view."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"A simply extraordinary dining experience at Londons OXO Restaurant, where elegance, technique and sensitivity coexist in perfect balance. Each dish tells a story made of excellent raw materials, great aesthetic care and impeccable room service: attentive, discreet and always smiling.  Special applause goes to the Scottish Langoustine dish, carrot, ginger, shellfish aioli, which literally left me speechless. I only tasted a few bites off my girlfriend's plate, and I was astonished.  A dish of great style and precision, where the following coexist harmoniously:  Elegant carrot sweetness  Spicy aromatic ginger, never intrusive  Intense and clean sea depth of langoustine  Controlled and enveloping fatness of shellfish aioli  A rare, refined, memorable balance.  Precisely because of the emotion that this dish gave me, I allow myself a curiosity as a great enthusiast: I would love to be able to recreate it for my girlfriend one day. Would it be possible to know, even if only in outline, the recipe or philosophy of the dish? In particular, I would like to know if inside the zucchini cannolo there are only scampi or even other fish or crustaceans, and what is the meaning and technique of the yellow lines on the zucchini, which are very intriguing both from an aesthetic and taste point of view. A more in-depth description would really be a gift.  Definitely I will be back, and will definitely recommend this restaurant to all my friends who will come to London: OXO is a must for those who love great cuisine.  Sincere congratulations to the kitchen and the service of the room. Thank you very much for this beautiful dining experience, which I will carry with me for a long time."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Great atmosphere , good food and friendly staff. Easy location to find with a great view.amazing cocktails."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Lovely pre theatre dinner. Took advantage of the 3 courses and glass of prosecco for 35. Excellent value even with the dishes and wine we added on. Lovely attentive service, didn't feel at all rushed. Having read negative reviews about the temperature of the space we were slightly concerned but needn't have been, in fact was on the very warm side. Food excellent  and portions large (couldn't finish dessert). Great."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"If you're going to eat here, you should definitely bring blankets. With an outside temperature of 1 degree, it is not more than 15 degrees inside. In addition, a fresh wind blows from the air conditioning, which quickly makes the good food cold. At a price of 560 for four people, the explanation of the service doesn't help either that there's a lot of glass around and that's why it's so cold.... Well, we're not coming back... maybe in the summer"
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"I was with my family for dinner, unrefined environment with New Year's Eve arrangements from paese.Personale unkind and a menu with prices absolutely out of the norm compared to what is proposed on the plate. To ask for certain prices you have to have a chef in the kitchen who is able to cook in a certain way and in the room of kind people. I absolutely do not recommend this place, the view is beautiful but not enough. I felt fooled."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Lovely food, great service, relaxed. Reassuringly excellent comms beforehand.   Everything about our visit was excellent and hit just the right note for a post-graduation celebration meal.   We were asked beforehand if it was a special occasion and my daughter felt very special that she was greeted with congratulations at reception. The dessert option with a message piped on rounded things off perfectly.  Every single person we encountered, from outside the lift arriving to when we left, was friendly, courteous and really excellent at what they were doing. A super standard of food. We were really grateful for the window seating, which we had not requested and was a real bonus in making our daughters day memorable. As the Principal at her graduation said to them all, we dont know your whole stories and what it took for you to make it through to now, but we see you. Our daughter deserved her day, and our time in the brasserie added perfectly to it."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Lovely view, friendly vibe, attentive helpful staff and gorgeous food!! Fish and sea food tasty and fresh. Will definitely revisit!"
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"The service was great, well catered for and checked upon frequently but not often enough to be annoying. We went for Afternoon Tea. The menu was as expected and the Salmon (my weakness) was perfect. The tea selection was large but the options were very similar. Scenery was ideal as we watched the contrast from a bright day to night views (3pm to 5pm). A bit pricey and would have rather been asked to donate to charity rather than it be included on the bill without any forewarning.  The Xmas crackers at 3.75ea (inc a donation) were VERY basic, not something I would associate with Harvey Nichols, more Poundland. Overall, a nice experience for me and my partner."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"One of our favourite restaurants in London and we booked for our Christmas meal with close friends. Unfortunately we were surprised at the greatly increased prices compared with our last visit a few months ago. Seems they were exploiting Christmas time. The service was excellent as usual but our meals were only average For example, my friend and I chose halibut which came with a few vegetables was 49 excluding sides. The piece of fish was very small and virtually tasteless. A great disappointment. Perhaps the word had got around because for a Friday night close to Christmas the restaurant was less than half full"
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Probably the best view of St Paul's Cathedral from anywhere, but it isn't worth the price. Starters all cost more than 20 - for two scallops? - and 46 for a piece of under-seasoned halibut not much bigger than my thumb, sitting in an insipid green sauce.   All this is probably reflected in the place being half empty on the Friday before Christmas. It's a pity because we've eaten well there previously and the location is great. Service was good. The room was cold, I'm not sure whether this was due to aircon too high or heating too low."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Its been a few years since I was here and I had been many times before that. The crab starter on a potato waffle was dire. The waffle was more like a stale reheated spongecake. The main dish of Pork was lukewarm as if it had been cooked on a radiator. The crushed potatoes were unremarkable and also cold, the cauliflower arrived 5 mins after we started eating and guess what? Was stone cold but it was taken off the bill. Staff are super lovely, but the service was far too quick, I think wed had both courses in 45 mins."
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,Just wanted to say thank you for yesterday  really appreciate all the support and everyone being so accommodating.  The dinner was lovely and the team really enjoyed it!
"OXO Tower Restaurant, Bar and Brasserie",London,4.3,"Our afternoon tea was superb, including the offer of a glass of champagne. We tried hard to resist but two seconds later we said Yes! The service was excellent and the staff very helpful in terms of our onward journey."
